f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,class
0.0,0.0,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0188,-0.0022773415918129923,0.0014,0.0,0.0,0.006362152409315263,0.0,0.0029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029,1
0.0,0.0,0.0,0.0031,0.0025787992544219953,0.0,0.0,0.0033585933021913236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0,0.0,0.0,0.001680440290809668,-0.003827838779380093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031,0.0094,1
0.0,0.00504244711469848,0.0,0.0045,-0.0006310652645455637,0.0,0.0,0.0159,0.0,0.0022,0.0,0.0,0.034,0.0068602161132927456,0.0,0.0,-0.0027050454422526977,0.0,0.0018806697572977052,0.0,0.0,-0.007178093521269836,0.0,0.0088,0.0,0.0,0.0,-0.0016812122049681922,0.0102,0.0011,1
0.0,0.005,0.0,0.00041828895808539894,0.0,0.0,0.0002674782532099513,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.007683306138127902,0.0,0.0035,0.0,0.0,0.0,0.0,0.0,-0.002335071886237206,0.0,0.0,0.0,0.0,0.0,0.0133,1
0.01,0.0,0.0,0.0,0.0,0.006970383809063131,0.0125,0.0,0.0,0.0,0.0,0.0,0.0137,0.0,0.006107027925269444,-0.005867912857526258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0093,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0065,0.0,-0.005608939261677985,0.0,0.0,0.0212,0.0,0.0,0.006237963559497501,0.0,0.0,0.0443,-0.0012408582269575466,0.0,0.0,0.0029160984176166906,0.0029,0.003820466930405275,0.0,0.005693464659719746,0.0,0.0,0.0003,0.0,0.003405920212110328,0.0,0.0,0.003438060728020807,0.0,0
0.0,0.002,0.0024371910220954197,0.0,0.0058,0.003387366574784072,0.0,0.0755,0.0,0.0058,0.0,0.0,0.0143,0.014992925908274338,0.0,0.0005707458987019647,0.0,0.009,0.0,0.0,0.005710499079120999,0.00535891709924026,0.0,0.0,0.0,0.0,0.0,0.0,0.0058,-0.0024023361379532835,1
0.0,-0.0021135538830150324,0.0,0.0063386182027357265,0.0005,0.0,-0.003985774465350868,0.0023,0.0,0.0005,0.0261,-0.00015514931217767432,0.0146,0.0033,0.0,0.0,0.0,0.0,0.0,0.0058,0.0,0.0,0.0,0.0,0.007194761367456583,0.0,0.0,0.0,0.004103982835789938,-0.00082417509497791,1
0.0,0.00059748055109515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004546679539394119,0.0,0.0010847539640220834,0.027974226429810775,0.05,0.0,0.0,0.0,0.0034054189354029746,0.0,0.006297275933514524,0.0,0.0,-0.0015480306751652316,0.0,-0.006772890638292533,0.0,0.0,0.0,0.0038378165442419405,0.0,1
0.0,0.0012106365321350664,0.0014154676325053841,0.0,-0.00283791651792755,0.0,0.0,0.0,0.0,0.0,0.003091858707429102,0.0,0.0,0.0,0.0010633591458170703,0.0,0.0,0.0392,0.001397306314465907,0.0,0.0,0.0,0.0,0.0052,-0.007109412101813292,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.00748910080426363,0.0,0.0,0.0106,0.0,0.0,0.0,0.0,0.0,0.0261,0.0163,0.0,-0.0007439363210823119,-0.00023661181983826776,0.0038,0.0,0.012423624917915387,0.0,0.0,0.0,0.000850888593703611,0.0,0.0003427257772664685,-0.007861365782527559,-0.0018683063082628824,0.004320894465686434,-0.007095742398253736,0
0.0,0.0,0.0,0.0043,0.0086,0.0,0.0,0.0,-0.0020479574691898896,0.010928763776967582,0.0,0.0,-0.009394590676454609,0.0,0.0036134415746991383,0.0,0.0,0.0048,0.0027,0.0,0.0,-0.0018021929235332369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0432,0.0,0.007191264774869576,0.0,0.0,0.0097,0.0,0.0,0.0,0.004848986671121708,0.0,0.002267759977335755,0.0,0.0038983921869493567,0.0204,0.0,0.00261285764116635,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0341,-0.015894515603077412,0.0,0.0,0.0,0.0066698246345081105,0.0,0.0,-0.0047873489182769825,0.0,0.0,0.0,0.0,-0.0002521705464606543,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428,0.0,0.0005683740361088249,0.0336,0.0,0.0,0.0107,0.0,0.0069,0.0,0.0,0.0,0.0,-0.00034880490592040226,0.0,-0.0031784432391350603,0.0,0.0007594135848917413,0.0015535913903423518,-0.0029524804816062314,0.0,0
