f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,class
0.0,0.0,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0188,-0.0006676271199437716,0.0014,0.0,0.0,0.012686845669370332,0.0,0.0029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029,1
0.0,0.0,0.0,0.0031,0.0004931933679975335,0.0,0.0,0.010400980458756346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0,0.0,0.0,0.01899862398702168,0.005559263512116993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031,0.0094,1
0.0,0.0037010098678772847,0.0,0.0045,0.0015161083880842038,0.0,0.0,0.0159,0.0,0.0022,0.0,0.0,0.034,0.00991154566840953,0.0,0.0,-0.006183925601450434,0.0,-0.0014237247015107322,0.0,0.0,0.00466360442660047,0.0,0.0088,0.0,0.0,0.0,0.004394858855906011,0.0102,0.0011,1
0.0,0.005,0.0,-0.00024960231232835917,0.0,0.0,0.004947495491638882,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,-0.006222816553980428,0.0,0.0035,0.0,0.0,0.0,0.0,0.0,0.004014901065030897,0.0,0.0,0.0,0.0,0.0,0.0133,1
0.01,0.0,0.0,0.0,0.0,-0.006150454186306851,0.0125,0.0,0.0,0.0,0.0,0.0,0.0137,0.0,0.004740418952613085,-0.004290450989582627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0093,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0065,0.0,0.0075790519286519226,0.0,0.0,0.0212,0.0,0.0,-0.02066984349038763,0.0,0.0,0.0443,0.0007158018850838702,0.0,0.0,-0.0014351776417202335,0.0029,0.003980326184239095,0.0,-0.004956851969173439,0.0,0.0,0.0003,0.0,-0.0011019537308266448,0.0,0.0,0.00015197633656142658,0.0,0
0.0,0.002,0.0019394359375087624,0.0,0.0058,0.004698995074639965,0.0,0.0755,0.0,0.0058,0.0,0.0,0.0143,0.014282166891686501,0.0,0.003949075953368345,0.0,0.009,0.0,0.0,0.006771540752948923,0.000492356514905367,0.0,0.0,0.0,0.0,0.0,0.0,0.0058,-0.0023923365002875897,1
0.0,0.0011107750393892315,0.0,0.002321133216286046,0.0005,0.0,-0.006237441859922362,0.0023,0.0,0.0005,0.0261,0.00010774763827755936,0.0146,0.0033,0.0,0.0,0.0,0.0,0.0,0.0058,0.0,0.0,0.0,0.0,-0.003012684275908885,0.0,0.0,0.0,-0.00478365154712349,0.003913363025058419,1
0.0,-0.00023495131284323348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009714994688208566,0.0,-0.0007262261401909992,-0.00012572919457488202,0.05,0.0,0.0,0.0,-0.009314735157237384,0.0,0.020112534685067525,0.0,0.0,0.008329425277961813,0.0,-0.00832197403278856,0.0,0.0,0.0,0.0033933729555392636,0.0,1
0.0,0.0003698394094850399,0.0007844491574559077,0.0,0.0031227003985697587,0.0,0.0,0.0,0.0,0.0,0.0035908821555635604,0.0,0.0,0.0,-0.0024038576503895666,0.0,0.0,0.0392,-0.002528231569057161,0.0,0.0,0.0,0.0,0.0052,-0.0011930958848312624,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,-0.00469962538736295,0.0,0.0,0.0106,0.0,0.0,0.0,0.0,0.0,0.0261,0.0163,0.0,0.0037299615361049334,0.005580220093837926,0.0038,0.0,0.0032220614476308885,0.0,0.0,0.0,0.002898250523765385,0.0,0.0010289999156268548,0.000486127361400576,-0.0005913874238281068,0.002665399815944654,0.00033436178057030244,0
0.0,0.0,0.0,0.0043,0.0086,0.0,0.0,0.0,-0.00010099185424765887,-0.001440158025745914,0.0,0.0,0.02762229309654212,0.0,0.0003908060028751298,0.0,0.0,0.0048,0.0027,0.0,0.0,0.00045271493515274924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0432,0.0,-0.0030158029691740836,0.0,0.0,0.0097,0.0,0.0,0.0,-0.0005520418081929364,0.0,-0.003015486278327176,0.0,0.004795630891325651,0.0204,0.0,0.004782538791697317,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0341,0.011765008750741716,0.0,0.0,0.0,-0.0019216066894441556,0.0,0.0,0.010961738883013735,0.0,0.0,0.0,0.0,0.0031932210539416623,0.0,0.0,0.0,0.0,0
